Tabel 2.  Gemiddeld aantal personenauto's per huishouden naar wijk, 1 januari 2023;;;;;
;;;;;
Wijknaam  ;Wijkcode ;Gemeentenaam;Gemeentecode ;Personenauto's per huishouden (afgerond);
Kern Biervliet;WK071503  ;Terneuzen                               ;GM0715;1,3;
Buitengebied Biervliet;WK071504  ;Terneuzen                               ;GM0715;1,5;
Kern Hoek;WK071505  ;Terneuzen                               ;GM0715;1,2;
Buitengebied Hoek;WK071506  ;Terneuzen                               ;GM0715;1,6;
Kern Koewacht;WK071507  ;Terneuzen                               ;GM0715;1,4;
Buitengebied Koewacht;WK071508  ;Terneuzen                               ;GM0715;1,4;
Kern Overslag;WK071509  ;Terneuzen                               ;GM0715;1,3;
Buitengebied Overslag;WK071510  ;Terneuzen                               ;GM0715;.;
Kern Philippine;WK071511  ;Terneuzen                               ;GM0715;1,3;
Buitengebied Philippine;WK071512  ;Terneuzen                               ;GM0715;1,4;
Kern Sas van Gent;WK071513  ;Terneuzen                               ;GM0715;1,0;
Buitengebied Sas van Gent;WK071514  ;Terneuzen                               ;GM0715;1,5;
Kern Sluiskil;WK071515  ;Terneuzen                               ;GM0715;1,2;
Buitengebied Sluiskil;WK071516  ;Terneuzen                               ;GM0715;.;
Kern Spui;WK071517  ;Terneuzen                               ;GM0715;1,6;
Buitengebied Spui;WK071518  ;Terneuzen                               ;GM0715;.;
Buitengebied Terneuzen;WK071519  ;Terneuzen                               ;GM0715;.;
Terneuzen Centrum;WK071520  ;Terneuzen                               ;GM0715;0,7;
Terneuzen Noord;WK071521  ;Terneuzen                               ;GM0715;1,0;
Terneuzen West;WK071522  ;Terneuzen                               ;GM0715;1,4;
Terneuzen Zuid;WK071523  ;Terneuzen                               ;GM0715;1,1;
Terneuzen Oost;WK071524  ;Terneuzen                               ;GM0715;1,5;
Kern Westdorpe;WK071525  ;Terneuzen                               ;GM0715;1,2;
Buitengebied Westdorpe;WK071526  ;Terneuzen                               ;GM0715;.;
Kern Zaamslag;WK071527  ;Terneuzen                               ;GM0715;1,2;
Buitengebied Zaamslag;WK071528  ;Terneuzen                               ;GM0715;1,4;
Kern Zuiddorpe;WK071529  ;Terneuzen                               ;GM0715;1,4;
Buitengebied Zuiddorpe;WK071530  ;Terneuzen                               ;GM0715;1,7;
Tholen;WK071600  ;Tholen                                  ;GM0716;1,2;
Poortvliet;WK071601  ;Tholen                                  ;GM0716;1,3;
Scherpenisse;WK071602  ;Tholen                                  ;GM0716;1,3;
Sint-Maartensdijk;WK071603  ;Tholen                                  ;GM0716;1,2;
Stavenisse;WK071604  ;Tholen                                  ;GM0716;1,2;
Sint-Annaland;WK071605  ;Tholen                                  ;GM0716;1,2;
Oud-Vossemeer;WK071606  ;Tholen                                  ;GM0716;1,3;
Sint Philipsland;WK071607  ;Tholen                                  ;GM0716;1,3;
Wijk 00 Veere;WK071700  ;Veere                                   ;GM0717;1,3;
Wijk 01 Gapinge;WK071701  ;Veere                                   ;GM0717;1,3;
Wijk 02 Vrouwenpolder;WK071702  ;Veere                                   ;GM0717;1,3;
Wijk 03 Serooskerke;WK071703  ;Veere                                   ;GM0717;1,3;
Wijk 04 Domburg;WK071704  ;Veere                                   ;GM0717;1,1;
Wijk 05 Oostkapelle;WK071705  ;Veere                                   ;GM0717;1,2;
Wijk 06 Aagtekerke;WK071706  ;Veere                                   ;GM0717;1,2;
Wijk 07 Grijpskerke;WK071707  ;Veere                                   ;GM0717;1,3;
Wijk 08 Meliskerke;WK071708  ;Veere                                   ;GM0717;1,3;
Wijk 09 Koudekerke;WK071709  ;Veere                                   ;GM0717;1,2;
Wijk 10 Biggekerke;WK071710  ;Veere                                   ;GM0717;1,3;
Wijk 11 Zoutelande;WK071711  ;Veere                                   ;GM0717;1,2;
Wijk 12 Westkapelle;WK071712  ;Veere                                   ;GM0717;1,2;
Binnenstad;WK071801  ;Vlissingen                              ;GM0718;0,7;
Middengebied;WK071802  ;Vlissingen                              ;GM0718;0,7;
Paauwenburg - Westduin;WK071803  ;Vlissingen                              ;GM0718;1,0;
Lammerenburg;WK071804  ;Vlissingen                              ;GM0718;1,1;
Oost-Souburg;WK071805  ;Vlissingen                              ;GM0718;1,0;
Ritthem e.o.;WK071806  ;Vlissingen                              ;GM0718;1,3;
Binnen- en Buitenhavens;WK071807  ;Vlissingen                              ;GM0718;.;
Sloegebied;WK071808  ;Vlissingen                              ;GM0718;.;
Mijdrecht;WK073601  ;De Ronde Venen                          ;GM0736;1,1;
de Hoef;WK073602  ;De Ronde Venen                          ;GM0736;1,4;
Amstelhoek;WK073603  ;De Ronde Venen                          ;GM0736;1,1;
Vinkeveen;WK073604  ;De Ronde Venen                          ;GM0736;1,2;
Waverveen;WK073605  ;De Ronde Venen                          ;GM0736;1,4;
Wilnis;WK073606  ;De Ronde Venen                          ;GM0736;1,2;
Abcoude;WK073607  ;De Ronde Venen                          ;GM0736;1,1;
Baambrugge;WK073608  ;De Ronde Venen                          ;GM0736;1,4;
Wijk 00 Burgum;WK073700  ;Tytsjerksteradiel                       ;GM0737;1,2;
Wijk 01 Aldtsjerk;WK073701  ;Tytsjerksteradiel                       ;GM0737;1,1;
Wijk 02 Mûnein;WK073702  ;Tytsjerksteradiel                       ;GM0737;1,3;
Wijk 03 Ryptsjerk;WK073703  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 04 Tytsjerk;WK073704  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 05 Earnewâld;WK073705  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 06 Sumar;WK073706  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 07 Eastermar;WK073707  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 08 Noordburgum;WK073708  ;Tytsjerksteradiel                       ;GM0737;1,4;
Wijk 09 Hurdegaryp;WK073709  ;Tytsjerksteradiel                       ;GM0737;1,2;
Asten industrie noord;WK074301  ;Asten                                   ;GM0743;0,9;
Asten buitengebied oost;WK074302  ;Asten                                   ;GM0743;1,4;
Asten noord;WK074303  ;Asten                                   ;GM0743;1,2;
Asten oost;WK074304  ;Asten                                   ;GM0743;1,1;
Asten zuid;WK074305  ;Asten                                   ;GM0743;1,3;
Asten centrum / west;WK074306  ;Asten                                   ;GM0743;1,2;
Asten buitengebied west;WK074307  ;Asten                                   ;GM0743;1,3;
Heusden wonen;WK074308  ;Asten                                   ;GM0743;1,4;
Heusden recreatie;WK074309  ;Asten                                   ;GM0743;.;
Ommel wonen;WK074310  ;Asten                                   ;GM0743;1,3;
Ommel recreatie;WK074311  ;Asten                                   ;GM0743;1,0;
Baarle-Nassau;WK074401  ;Baarle-Nassau                           ;GM0744;1,3;
Ulicoten;WK074402  ;Baarle-Nassau                           ;GM0744;1,4;
Castelré;WK074403  ;Baarle-Nassau                           ;GM0744;1,2;
Wijk 00 Bergen op Zoom-Oude stad e.o.;WK074800  ;Bergen op Zoom                          ;GM0748;0,8;
Wijk 01 Bergen op Zoom-Noord;WK074801  ;Bergen op Zoom                          ;GM0748;1,1;
Wijk 02 Bergen op Zoom-Oost;WK074802  ;Bergen op Zoom                          ;GM0748;1,0;
Wijk 03 Bergen op Zoom-West;WK074803  ;Bergen op Zoom                          ;GM0748;1,2;
Wijk 04 Halsteren;WK074804  ;Bergen op Zoom                          ;GM0748;1,2;
Wijk 05 Lepelstraat;WK074805  ;Bergen op Zoom                          ;GM0748;1,3;
Wijk 00 Best;WK075300  ;Best                                    ;GM0753;1,1;
Wijk 00 Boekel;WK075500  ;Boekel                                  ;GM0755;1,3;
Wijk 01 Venhorst;WK075501  ;Boekel                                  ;GM0755;1,5;
Wijk 00 Boxtel;WK075700  ;Boxtel                                  ;GM0757;1,0;
Wijk 01 Lennisheuvel;WK075701  ;Boxtel                                  ;GM0757;1,3;
Wijk 02 Liempde;WK075702  ;Boxtel                                  ;GM0757;1,3;
Esch;WK075730  ;Boxtel                                  ;GM0757;1,2;
Verspr huizen Esch;WK075731  ;Boxtel                                  ;GM0757;1,4;
Breda centrum;WK075800  ;Breda                                   ;GM0758;0,5;
Breda noord;WK075801  ;Breda                                   ;GM0758;0,8;
Breda oost;WK075802  ;Breda                                   ;GM0758;0,8;
Breda zuid-oost;WK075803  ;Breda                                   ;GM0758;1,0;
Breda zuid;WK075804  ;Breda                                   ;GM0758;1,0;
Breda west;WK075805  ;Breda                                   ;GM0758;0,8;
Breda noord-west;WK075806  ;Breda                                   ;GM0758;1,1;
Bavel;WK075807  ;Breda                                   ;GM0758;1,3;
Ulvenhout;WK075808  ;Breda                                   ;GM0758;1,2;
Prinsenbeek;WK075809  ;Breda                                   ;GM0758;1,2;
Teteringen;WK075810  ;Breda                                   ;GM0758;1,2;
Wijk 00 Deurne;WK076200  ;Deurne                                  ;GM0762;1,1;
Wijk 01 Vlierden;WK076201  ;Deurne                                  ;GM0762;1,4;
Wijk 02 Liessel;WK076202  ;Deurne                                  ;GM0762;1,3;
Wijk 03 Neerkant;WK076203  ;Deurne                                  ;GM0762;1,5;
Wijk 04 Helenaveen;WK076204  ;Deurne                                  ;GM0762;1,3;
Wijk 00;WK076500  ;Pekela                                  ;GM0765;1,2;
Wijk 01;WK076501  ;Pekela                                  ;GM0765;1,3;
Dongen;WK076601  ;Dongen                                  ;GM0766;1,2;
's Gravenmoer;WK076602  ;Dongen                                  ;GM0766;1,4;
Eersel;WK077000  ;Eersel                                  ;GM0770;1,2;
Duizel;WK077001  ;Eersel                                  ;GM0770;1,4;
Steensel;WK077002  ;Eersel                                  ;GM0770;1,4;
Vessem;WK077003  ;Eersel                                  ;GM0770;1,4;
Wintelre;WK077004  ;Eersel                                  ;GM0770;1,4;
Knegsel;WK077005  ;Eersel                                  ;GM0770;1,5;
Centrum;WK077211  ;Eindhoven                               ;GM0772;0,3;
Oud-Stratum;WK077221  ;Eindhoven                               ;GM0772;0,6;
Kortonjo;WK077222  ;Eindhoven                               ;GM0772;0,8;
Putten;WK077223  ;Eindhoven                               ;GM0772;0,9;
De Laak;WK077231  ;Eindhoven                               ;GM0772;0,7;
Doornakkers;WK077232  ;Eindhoven                               ;GM0772;0,8;
Oud-Tongelre;WK077233  ;Eindhoven                               ;GM0772;0,9;
Oud-Woensel;WK077241  ;Eindhoven                               ;GM0772;0,4;
Erp;WK077242  ;Eindhoven                               ;GM0772;0,6;
Begijnenbroek;WK077243  ;Eindhoven                               ;GM0772;0,8;
Ontginning;WK077251  ;Eindhoven                               ;GM0772;0,8;
Achtse Molen;WK077252  ;Eindhoven                               ;GM0772;1,2;
Aanschot;WK077253  ;Eindhoven                               ;GM0772;1,1;
Dommelbeemd;WK077254  ;Eindhoven                               ;GM0772;0,9;
Oud-Strijp;WK077261  ;Eindhoven                               ;GM0772;0,5;
Halve Maan;WK077262  ;Eindhoven                               ;GM0772;0,8;
Meerhoven;WK077263  ;Eindhoven                               ;GM0772;1,0;
Rozenknopje;WK077271  ;Eindhoven                               ;GM0772;0,6;
Oud-Gestel;WK077272  ;Eindhoven                               ;GM0772;0,7;
Gestelse Ontginning;WK077273  ;Eindhoven                               ;GM0772;1,0;
Midden woongebied;WK077700  ;Etten-Leur                              ;GM0777;1,0;
Midden Bedrijventerrein;WK077701  ;Etten-Leur                              ;GM0777;.;
Midden landelijk gebied;WK077702  ;Etten-Leur                              ;GM0777;1,3;
Noord woongebied;WK077710  ;Etten-Leur                              ;GM0777;1,1;
Noord bedrijventerrein;WK077711  ;Etten-Leur                              ;GM0777;.;
Noord landelijk gebied;WK077712  ;Etten-Leur                              ;GM0777;1,4;
Zuid woongebied;WK077720  ;Etten-Leur                              ;GM0777;1,1;
Zuid bedrijventerrein West;WK077721  ;Etten-Leur                              ;GM0777;1,4;
Zuid bedrijventerrein Oost;WK077722  ;Etten-Leur                              ;GM0777;.;
Zuid landelijk gebied;WK077723  ;Etten-Leur                              ;GM0777;1,4;
Wijk 00 Raamsdonksveer;WK077900  ;Geertruidenberg                         ;GM0779;1,1;
Wijk 01 Raamsdonk;WK077901  ;Geertruidenberg                         ;GM0779;1,4;
Wijk 02 Geertruidenberg;WK077902  ;Geertruidenberg                         ;GM0779;1,1;
Rijen;WK078401  ;Gilze en Rijen                          ;GM0784;1,1;
Gilze;WK078402  ;Gilze en Rijen                          ;GM0784;1,2;
Hulten;WK078403  ;Gilze en Rijen                          ;GM0784;1,6;
Molenschot;WK078404  ;Gilze en Rijen                          ;GM0784;1,5;
Wijk 01 Goirle-Centrum;WK078501  ;Goirle                                  ;GM0785;1,0;
Wijk 02 Grobbendonck;WK078502  ;Goirle                                  ;GM0785;1,3;
Wijk 03 De Groote Akkers;WK078503  ;Goirle                                  ;GM0785;1,2;
Wijk 04 De Hoge Wal;WK078504  ;Goirle                                  ;GM0785;1,2;
Wijk 05 Abcoven;WK078505  ;Goirle                                  ;GM0785;1,1;
Wijk 06 Wildackers;WK078506  ;Goirle                                  ;GM0785;0,9;
Wijk 07 't Ven;WK078507  ;Goirle                                  ;GM0785;1,3;
Wijk 08 De Boschkens;WK078508  ;Goirle                                  ;GM0785;1,2;
Wijk 09 De Hellen;WK078509  ;Goirle                                  ;GM0785;1,2;
Wijk 10 De Nieuwe Erven;WK078510  ;Goirle                                  ;GM0785;1,4;
Wijk 11 Hoogeind;WK078511  ;Goirle                                  ;GM0785;1,0;
Wijk 12 Sportpark Van den Wildenberg;WK078512  ;Goirle                                  ;GM0785;.;
Wijk 13 Bedrijventerrein Tijvoort;WK078513  ;Goirle                                  ;GM0785;1,5;
Wijk 14 Verspreide huizen Goirle;WK078514  ;Goirle                                  ;GM0785;1,3;
Wijk 20 Riel;WK078520  ;Goirle                                  ;GM0785;1,2;
Wijk 21 Bedrijventerrein Riel;WK078521  ;Goirle                                  ;GM0785;.;
Wijk 22 Sportpark De Krim;WK078522  ;Goirle                                  ;GM0785;.;
Wijk 23 Verspriede huizen Riel;WK078523  ;Goirle                                  ;GM0785;1,9;
Wijk 10 Binnenstad;WK079410  ;Helmond                                 ;GM0794;0,7;
Wijk 11 Helmond-Oost;WK079411  ;Helmond                                 ;GM0794;0,9;
Wijk 12 Helmond-Noord;WK079412  ;Helmond                                 ;GM0794;1,0;
Wijk 13 't Hout;WK079413  ;Helmond                                 ;GM0794;1,1;
Wijk 14 Brouwhuis;WK079414  ;Helmond                                 ;GM0794;1,1;
Wijk 15 Helmond-West;WK079415  ;Helmond                                 ;GM0794;0,9;
Wijk 16 Warande;WK079416  ;Helmond                                 ;GM0794;1,3;
Wijk 17 Stiphout;WK079417  ;Helmond                                 ;GM0794;1,3;
Wijk 18 Rijpelberg;WK079418  ;Helmond                                 ;GM0794;1,1;
Wijk 19 Dierdonk;WK079419  ;Helmond                                 ;GM0794;1,5;
Wijk 21 Brandevoort;WK079421  ;Helmond                                 ;GM0794;1,2;
Wijk 29 Industriegebied Zuid;WK079429  ;Helmond                                 ;GM0794;1,5;
Binnenstad;WK079601  ;'s-Hertogenbosch                        ;GM0796;0,6;
Zuidoost;WK079602  ;'s-Hertogenbosch                        ;GM0796;0,8;
Graafsepoort;WK079603  ;'s-Hertogenbosch                        ;GM0796;0,8;
Muntel / Vliert;WK079604  ;'s-Hertogenbosch                        ;GM0796;0,7;
Rosmalen-Zuid;WK079605  ;'s-Hertogenbosch                        ;GM0796;1,2;
Rosmalen-Noord;WK079606  ;'s-Hertogenbosch                        ;GM0796;1,2;
De Groote Wielen;WK079607  ;'s-Hertogenbosch                        ;GM0796;1,2;
Empel;WK079608  ;'s-Hertogenbosch                        ;GM0796;1,3;
Noord;WK079609  ;'s-Hertogenbosch                        ;GM0796;0,9;
Maaspoort;WK079610  ;'s-Hertogenbosch                        ;GM0796;1,1;
West;WK079611  ;'s-Hertogenbosch                        ;GM0796;0,8;
Engelen;WK079612  ;'s-Hertogenbosch                        ;GM0796;1,3;
Nuland;WK079613  ;'s-Hertogenbosch                        ;GM0796;1,3;
Vinkel;WK079614  ;'s-Hertogenbosch                        ;GM0796;1,5;
Wijk 01 Drunen;WK079701  ;Heusden                                 ;GM0797;1,2;
Wijk 02 Elshout;WK079702  ;Heusden                                 ;GM0797;1,3;
Wijk 03 Haarsteeg;WK079703  ;Heusden                                 ;GM0797;1,3;
Wijk 04 Nieuwkuijk;WK079704  ;Heusden                                 ;GM0797;1,2;
Wijk 05 Vlijmen;WK079705  ;Heusden                                 ;GM0797;1,2;
Wijk 06 Doeveren;WK079706  ;Heusden                                 ;GM0797;.;
Wijk 07 Hedikthuizen;WK079707  ;Heusden                                 ;GM0797;1,5;
Wijk 08 Heesbeen;WK079708  ;Heusden                                 ;GM0797;2,1;
Wijk 09 Herpt;WK079709  ;Heusden                                 ;GM0797;1,4;
Wijk 10 Heusden;WK079710  ;Heusden                                 ;GM0797;1,1;
Wijk 11 Oudheusden;WK079711  ;Heusden                                 ;GM0797;1,2;
Wijk 00 Hilvarenbeek;WK079800  ;Hilvarenbeek                            ;GM0798;1,2;
Wijk 01 Esbeek;WK079801  ;Hilvarenbeek                            ;GM0798;1,5;
Wijk 02 Biest-Houtakker;WK079802  ;Hilvarenbeek                            ;GM0798;1,4;
Wijk 03 Diessen;WK079803  ;Hilvarenbeek                            ;GM0798;1,4;
Wijk 04 Haghorst;WK079804  ;Hilvarenbeek                            ;GM0798;1,4;
Wijk 10 Kaatsheuvel-West;WK080910  ;Loon op Zand                            ;GM0809;1,2;
Wijk 20 Kaatsheuvel-Oost;WK080920  ;Loon op Zand                            ;GM0809;1,3;
Wijk 30 Loon op Zand;WK080930  ;Loon op Zand                            ;GM0809;1,2;
Wijk 40 De Moer;WK080940  ;Loon op Zand                            ;GM0809;1,5;
Wijk 00 Nuenen;WK082000  ;Nuenen, Gerwen en Nederwetten           ;GM0820;1,2;
Wijk 01 Gerwen;WK082001  ;Nuenen, Gerwen en Nederwetten           ;GM0820;1,4;
Wijk 02 Nederwetten;WK082002  ;Nuenen, Gerwen en Nederwetten           ;GM0820;1,4;
Wijk 00 Oirschot;WK082300  ;Oirschot                                ;GM0823;1,3;
Wijk 01 Spoordonk;WK082301  ;Oirschot                                ;GM0823;1,4;
Wijk 02 Middelbeers en Westelbeers;WK082302  ;Oirschot                                ;GM0823;1,4;
Wijk 03 Oostelbeers;WK082303  ;Oirschot                                ;GM0823;1,5;
Verspr.h. westen en noorden Moerg.;WK082401  ;Oisterwijk                              ;GM0824;1,3;
Pannenschuur;WK082402  ;Oisterwijk                              ;GM0824;1,2;
Heukelom;WK082403  ;Oisterwijk                              ;GM0824;1,7;
Buitengebied (Zuid);WK082404  ;Oisterwijk                              ;GM0824;0,8;
Omgeving Vinkenberg / Heuvelstraat;WK082405  ;Oisterwijk                              ;GM0824;1,4;
Omgeving George Perklaan;WK082406  ;Oisterwijk                              ;GM0824;1,3;
Centrum Moergestel;WK082407  ;Oisterwijk                              ;GM0824;1,3;
't Westend / 't Seuverick;WK082408  ;Oisterwijk                              ;GM0824;1,1;
Bunders / Levenskerk;WK082409  ;Oisterwijk                              ;GM0824;1,3;
Buitengebied Kerkhoven;WK082410  ;Oisterwijk                              ;GM0824;.;
Waterhoef / Klompven;WK082411  ;Oisterwijk                              ;GM0824;1,1;
Omgeving Industrieterr. Kerckhoven Laara;WK082412  ;Oisterwijk                              ;GM0824;1,0;
Centrum Oisterwijk;WK082413  ;Oisterwijk                              ;GM0824;0,9;
Verspr.h. oosten en zuiden Moerg.;WK082414  ;Oisterwijk                              ;GM0824;1,7;
Omgeving Broekzijde;WK082415  ;Oisterwijk                              ;GM0824;.;
Buitengebied Pannenschuur;WK082416  ;Oisterwijk                              ;GM0824;.;
Buitengebied Laarakkers;WK082417  ;Oisterwijk                              ;GM0824;.;
KVL;WK082418  ;Oisterwijk                              ;GM0824;1,0;
Sportpark Den Donk e.o.;WK082419  ;Oisterwijk                              ;GM0824;.;
Haaren;WK082420  ;Oisterwijk                              ;GM0824;1,2;
Wijk 00 Oosterhout-Centrum;WK082600  ;Oosterhout                              ;GM0826;0,8;
Wijk 01 Slotjes;WK082601  ;Oosterhout                              ;GM0826;1,0;
Wijk 02 West;WK082602  ;Oosterhout                              ;GM0826;1,2;
Wijk 03 Strijen;WK082603  ;Oosterhout                              ;GM0826;1,1;
Wijk 04 Leijsenakkers;WK082604  ;Oosterhout                              ;GM0826;1,2;
Wijk 05 Oosterheide;WK082605  ;Oosterhout                              ;GM0826;1,0;
Wijk 06 Dommelbergen;WK082606  ;Oosterhout                              ;GM0826;1,2;
Wijk 07 Vrachelen;WK082607  ;Oosterhout                              ;GM0826;1,2;
Wijk 08 Industrieterrein Zuid;WK082608  ;Oosterhout                              ;GM0826;1,2;
Wijk 09 Industrieterrein Noord;WK082609  ;Oosterhout                              ;GM0826;.;
Wijk 10 Buitengebied Oosterhout;WK082610  ;Oosterhout                              ;GM0826;0,8;
Wijk 11 Den Hout;WK082611  ;Oosterhout                              ;GM0826;1,5;
Wijk 12 Oosteind;WK082612  ;Oosterhout                              ;GM0826;1,5;
Wijk 13 Dorst;WK082613  ;Oosterhout                              ;GM0826;1,3;
Centrum;WK082800  ;Oss                                     ;GM0828;0,7;
Schadewijk;WK082801  ;Oss                                     ;GM0828;0,9;
Industrieterreinen-Zuid;WK082802  ;Oss                                     ;GM0828;1,3;
Oss-Zuid;WK082803  ;Oss                                     ;GM0828;1,0;
Krinkelhoek;WK082804  ;Oss                                     ;GM0828;1,1;
Industrieterreinen-Noord;WK082805  ;Oss                                     ;GM0828;1,9;
Ruwaard;WK082806  ;Oss                                     ;GM0828;1,0;
Ussen;WK082807  ;Oss                                     ;GM0828;1,1;
Buitengebied-Noord;WK082808  ;Oss                                     ;GM0828;1,4;
Buitengebied-Zuid;WK082809  ;Oss                                     ;GM0828;0,9;
Berghem;WK082810  ;Oss                                     ;GM0828;1,3;
Haren;WK082811  ;Oss                                     ;GM0828;1,3;
Macharen;WK082812  ;Oss                                     ;GM0828;1,3;
Megen;WK082813  ;Oss                                     ;GM0828;1,3;
Ravenstein;WK082814  ;Oss                                     ;GM0828;1,2;
Herpen;WK082815  ;Oss                                     ;GM0828;1,3;
Overlangel;WK082816  ;Oss                                     ;GM0828;1,5;
Deursen en Dennenburg;WK082817  ;Oss                                     ;GM0828;1,5;
Lith;WK082818  ;Oss                                     ;GM0828;1,3;
Lithoijen;WK082819  ;Oss                                     ;GM0828;1,4;
Oijen;WK082820  ;Oss                                     ;GM0828;1,4;
Maren-Kessel;WK082821  ;Oss                                     ;GM0828;1,4;
Geffen;WK082822  ;Oss                                     ;GM0828;1,3;
Wijk 00 Rucphen;WK084000  ;Rucphen                                 ;GM0840;1,3;
Wijk 01 Sint Willebrord;WK084001  ;Rucphen                                 ;GM0840;1,3;
Wijk 02 Sprundel;WK084002  ;Rucphen                                 ;GM0840;1,3;
Wijk 03 Schijf;WK084003  ;Rucphen                                 ;GM0840;1,2;
Wijk 04 Zegge;WK084004  ;Rucphen                                 ;GM0840;1,3;
Wijk 00 Sint-Michielsgestel;WK084500  ;Sint-Michielsgestel                     ;GM0845;1,2;
Wijk 01 Gemonde;WK084501  ;Sint-Michielsgestel                     ;GM0845;1,4;
Wijk 02 Den Dungen;WK084502  ;Sint-Michielsgestel                     ;GM0845;1,3;
Wijk 03 Berlicum;WK084503  ;Sint-Michielsgestel                     ;GM0845;1,2;
Wijk 04 Middelrode;WK084504  ;Sint-Michielsgestel                     ;GM0845;1,3;
Wijk 00 Someren;WK084700  ;Someren                                 ;GM0847;1,2;
Wijk 01 Lierop;WK084701  ;Someren                                 ;GM0847;1,4;
Wijk 02 Someren-Eind;WK084702  ;Someren                                 ;GM0847;1,3;
Wijk 03 Somerense Heide;WK084703  ;Someren                                 ;GM0847;1,3;
Wijk 09;WK084709  ;Someren                                 ;GM0847;.;
Wijk 00 Son;WK084800  ;Son en Breugel                          ;GM0848;1,2;
Wijk 01 Breugel;WK084801  ;Son en Breugel                          ;GM0848;1,3;
Wijk 00 Steenbergen;WK085100  ;Steenbergen                             ;GM0851;1,1;
Wijk 01 Kruisland;WK085101  ;Steenbergen                             ;GM0851;1,3;
Wijk 02 De Heen;WK085102  ;Steenbergen                             ;GM0851;1,3;
Wijk 03 Dinteloord;WK085103  ;Steenbergen                             ;GM0851;1,2;
Wijk 04 Nieuw-Vossemeer;WK085104  ;Steenbergen                             ;GM0851;1,3;
Wijk 00 Monnickendam;WK085200  ;Waterland                               ;GM0852;1,0;
Wijk 01 Katwoude;WK085201  ;Waterland                               ;GM0852;1,4;
Wijk 02 Marken;WK085202  ;Waterland                               ;GM0852;1,0;
Wijk 03 Broek in Waterland;WK085203  ;Waterland                               ;GM0852;1,1;
Wijk 04 Ilpendam;WK085204  ;Waterland                               ;GM0852;1,1;
Wijk 05 Watergang;WK085205  ;Waterland                               ;GM0852;1,3;
Binnenstad;WK085510  ;Tilburg                                 ;GM0855;0,4;
Hoogvenne;WK085511  ;Tilburg                                 ;GM0855;0,6;
Armhoef;WK085512  ;Tilburg                                 ;GM0855;0,9;
Jeruzalem;WK085513  ;Tilburg                                 ;GM0855;0,9;
Fatima;WK085514  ;Tilburg                                 ;GM0855;0,8;
Broekhoven;WK085515  ;Tilburg                                 ;GM0855;0,6;
Oerle;WK085516  ;Tilburg                                 ;GM0855;0,6;
Korvel;WK085517  ;Tilburg                                 ;GM0855;0,7;
Trouwlaan - Uitvindersbuurt;WK085518  ;Tilburg                                 ;GM0855;0,6;
Sint Anna;WK085519  ;Tilburg                                 ;GM0855;0,5;
Noordhoek;WK085520  ;Tilburg                                 ;GM0855;0,6;
Spoorzone Zuid;WK085521  ;Tilburg                                 ;GM0855;0,2;
Bouwmeester;WK085522  ;Tilburg                                 ;GM0855;0,7;
De Hasselt;WK085523  ;Tilburg                                 ;GM0855;0,7;
Het Goirke;WK085524  ;Tilburg                                 ;GM0855;0,7;
Groeseind-Hoefstraat;WK085525  ;Tilburg                                 ;GM0855;0,7;
Loven-Besterd;WK085526  ;Tilburg                                 ;GM0855;0,6;
Theresia;WK085527  ;Tilburg                                 ;GM0855;0,6;
Spoorzone Noord;WK085528  ;Tilburg                                 ;GM0855;0,6;
Kanaalzone;WK085529  ;Tilburg                                 ;GM0855;0,8;
Moerenburg;WK085530  ;Tilburg                                 ;GM0855;.;
De Leij;WK085531  ;Tilburg                                 ;GM0855;0,8;
Groenewoud;WK085532  ;Tilburg                                 ;GM0855;0,9;
Stappegoor;WK085533  ;Tilburg                                 ;GM0855;1,1;
Bedrijventerrein Het Laar;WK085534  ;Tilburg                                 ;GM0855;.;
De Blaak;WK085535  ;Tilburg                                 ;GM0855;1,3;
Zorgvlied;WK085536  ;Tilburg                                 ;GM0855;0,9;
De Reit;WK085537  ;Tilburg                                 ;GM0855;0,5;
Het Zand;WK085538  ;Tilburg                                 ;GM0855;0,6;
Wandelbos Noord;WK085539  ;Tilburg                                 ;GM0855;0,8;
Wandelbos Zuid;WK085540  ;Tilburg                                 ;GM0855;0,9;
De Oude Warande;WK085541  ;Tilburg                                 ;GM0855;.;
Stokhasselt;WK085542  ;Tilburg                                 ;GM0855;0,9;
Heikant;WK085543  ;Tilburg                                 ;GM0855;0,8;
Quirijnstok;WK085544  ;Tilburg                                 ;GM0855;1,1;
Ind.terrein Loven;WK085545  ;Tilburg                                 ;GM0855;1,1;
Bosscheweg;WK085546  ;Tilburg                                 ;GM0855;1,9;
Gesworen Hoek;WK085547  ;Tilburg                                 ;GM0855;1,0;
Huibeven;WK085548  ;Tilburg                                 ;GM0855;1,2;
Campenhoef;WK085549  ;Tilburg                                 ;GM0855;1,2;
Heyhoef;WK085550  ;Tilburg                                 ;GM0855;0,5;
Heerevelden;WK085551  ;Tilburg                                 ;GM0855;1,3;
Dongewijk;WK085552  ;Tilburg                                 ;GM0855;1,2;
